date,sku_id,category,units_sold,units_received,closing_stock,lead_time_days,units_sold_imputed,closing_stock_imputed,lead_time_assumed,avg_sold_7d,avg_sold_14d,avg_sold_28d,std_sold_28d,cv_sold_28d,trend_ratio,is_stockout_day,stockout_rate_28d,days_of_cover,cover_vs_leadtime
2026-01-01,SKU-1000,Snacks,110.0,0,403.0,7,False,False,False,,,,,,,0,,,
2026-01-02,SKU-1000,Snacks,278.0,0,125.0,7,False,False,False,,,,,,,0,,,
2026-01-03,SKU-1000,Snacks,121.0,903,907.0,7,False,False,False,169.66666666666666,,,,,,0,,,
2026-01-04,SKU-1000,Snacks,75.0,0,832.0,7,False,False,False,146.0,,,,,,0,,,
2026-01-05,SKU-1000,Snacks,71.0,0,761.0,7,False,False,False,131.0,131.0,,,,,0,0.0,5.809160305343512,0.8298800436205017
2026-01-06,SKU-1000,Snacks,103.0,0,658.0,7,False,False,False,126.33333333333333,126.33333333333333,,,,,0,0.0,5.20844327176781,0.7440633245382585
2026-01-07,SKU-1000,Snacks,133.0,0,525.0,7,False,False,False,127.28571428571429,127.28571428571429,127.28571428571429,70.21090676363201,0.5516008387715197,,0,0.0,4.124579124579125,0.5892255892255892
2026-01-08,SKU-1000,Snacks,106.0,0,419.0,7,False,False,False,126.71428571428571,124.625,124.625,65.43685615046877,0.5250700593818959,,0,0.0,3.362086258776329,0.480298036968047
2026-01-09,SKU-1000,Snacks,112.0,0,307.0,7,False,False,False,103.0,123.22222222222223,123.22222222222223,61.35506861249887,0.4979221077659962,,0,0.0,2.4914337240757436,0.3559191034393919
2026-01-10,SKU-1000,Snacks,142.0,761,926.0,7,False,False,False,106.0,125.1,125.1,58.15009314982507,0.4648288820929262,,0,0.0,7.402078337330137,1.057439762475734
2026-01-11,SKU-1000,Snacks,14.0,0,912.0,7,False,False,False,97.28571428571429,115.0,115.0,64.53991013318813,0.5612166098538098,,0,0.0,7.930434782608696,1.132919254658385
2026-01-12,SKU-1000,Snacks,71.0,0,841.0,7,False,False,False,97.28571428571429,111.33333333333333,111.33333333333333,62.83359456581014,0.5643736038845222,0.7426390403489641,0,0.0,7.553892215568863,1.0791274593669804
2026-01-13,SKU-1000,Snacks,132.0,0,709.0,7,False,False,False,101.42857142857143,112.92307692307692,112.92307692307692,60.431037194559686,0.535152236736564,0.8028646814926499,0,0.0,6.278610354223433,0.8969443363176334
2026-01-14,SKU-1000,Snacks,119.0,896,1486.0,7,False,False,False,99.42857142857143,113.35714285714286,113.35714285714286,58.082973995241225,0.5123891845830983,0.7811447811447811,0,0.0,13.109010712035285,1.8727158160050408
2026-01-15,SKU-1000,Snacks,143.0,0,1343.0,7,False,False,False,104.71428571428571,115.71428571428571,115.33333333333333,56.491044380840535,0.48980674318647865,0.8402349906863447,0,0.0,11.606172839506174,1.6580246913580248
2026-01-16,SKU-1000,Snacks,137.0,0,1206.0,7,False,False,False,108.28571428571429,105.64285714285714,116.6875,54.84367936842555,0.47000475088099025,0.8787839752672936,0,0.0,11.415821501014198,1.6308316430020284
